Estado Matricula,Período,Año,Organización Jurídica,Categoría,Tamaño,Sector Agregado,Sector Actividad Económica,CIIU1,Personal Ocupado,Municipio,Zona,Barrio,Total Valor Activos,Total Valor Pasivos,Total Valor Patrimonio,Total Valor Ventas Netas
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,0,NEIVA,NORTE,VIRGILIO BARCO,1500000,0,1500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5511 ** Alojamiento en hoteles,1,PITALITO,SUR,CENTRO,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,0,CAMPOALEGRE,NORTE,CENTRO,1200000,0,1200000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4774 ** Comercio al por menor de otros productos nuevos en establecimientos especializados,0,NEIVA,NORTE,EL CENTRO,1200000,0,1200000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,"Actividades artísticas, de entretenimiento y recreación",R9200 ** Actividades de juegos de azar y apuestas,0,NEIVA,NORTE,PEÑON REDONDO,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,0,CAMPOALEGRE,NORTE,CENTRO,6000000,0,6000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,0,LA PLATA,OCCIDENTE,ALTICO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,0,NEIVA,NORTE,BRISAS,450000,0,450000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5613 ** Expendio de comidas preparadas en cafeterias,0,NEIVA,NORTE,SANTA INES,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4799 ** Otros tipos de comercio al por menor no realizado en establecimientos  puestos de venta o mercados,0,NEIVA,NORTE,TIMANCO I ETAPA,500000,0,500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Actividades de servicios administrativos y de apoyo,N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.,0,EL PITAL,CENTRO,MINAS,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5511 ** Alojamiento en hoteles,0,PITALITO,SUR,CENTRO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,0,NEIVA,NORTE,FALLA BERNAL,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,0,AIPE,NORTE,AVELINO ARIAS,6000000,0,6000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,0,NEIVA,NORTE,LOS MARTIRES,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Actividades de servicios administrativos y de apoyo,N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.,0,PITALITO,SUR,SUCRE,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,0,NEIVA,NORTE,EL JARDIN,10000000,0,10000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,0,GIGANTE,CENTRO,CENTRO,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5611 ** Expendio a la mesa de comidas preparadas,0,VILLAVIEJA,NORTE,LA ESTRELLA,5000000,0,5000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,1,ACEVEDO,SUR,SAN MARCOS,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Industria,Industrias manufactureras,C2593 ** Fabricacion de articulos de cuchilleria  herramientas de mano y articulos de ferreteria,0,NEIVA,NORTE,EL CENTRO,1000000,0,1000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4751 ** Comercio al por menor de productos textiles en establecimientos especializados,0,GUADALUPE,CENTRO,CENTRO,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Otras actividades de servicios,S9511 ** Mantenimiento y reparacion de computadores y de equipo periferico,1,SALADOBLANCO,SUR,EL CENTRO,4050000,0,4050000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Otras actividades de servicios,S9602 ** Peluqueria y otros tratamientos de belleza,0,NEIVA,NORTE,VIRGILIO BARCO,2500000,0,2500000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Servicios,Alojamiento y Servicios de Comida,I5630 ** Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,1,PITALITO,SUR,SOLARTE,4000000,0,4000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,1,GARZON,CENTRO,INDEPENDENCIA,2000000,0,2000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,0,NEIVA,NORTE,LOS GUADUALES,1800000,0,1800000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,1,PITALITO,SUR,BRUSELAS,3000000,0,3000000,0
Constituciones,2° Trimestre,2021,Persona Natural,Establecimiento,Micro,Comercio,Comercio al por mayor y al por menor; Vehículos,G4791 ** Comercio al por menor realizado a traves de internet,0,GARZON,CENTRO,MARIA AUXILIADORA,2000000,0,2000000,0
